team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
KC,2007,23,19,8,96,33,1,194,13,1,0,0,0
LV,2007,28,23,9,73,37,1,191,20,0,0,0,0
LAC,2007,41,24,3,82,24,0,191,16,1,0,0,1
LAR,2007,24,24,8,78,37,1,193,21,0,0,0,0
MIA,2007,26,21,2,77,29,0,175,20,0,0,0,0
MIN,2007,34,20,4,81,30,1,190,20,0,0,0,0
NE,2007,67,21,3,45,15,0,167,15,1,0,0,1
NO,2007,42,15,7,63,30,1,180,22,0,0,0,0
NYG,2007,38,23,4,72,34,0,189,17,1,0,0,1
NYJ,2007,21,29,7,72,25,0,171,16,1,0,0,0
PHI,2007,36,24,8,73,27,0,182,14,0,0,0,0
PIT,2007,43,23,2,68,22,0,175,17,0,0,0,1
SF,2007,23,17,2,105,34,1,203,21,0,0,0,0
SEA,2007,39,28,6,86,24,1,202,18,0,0,0,1
TB,2007,33,28,5,78,20,0,185,20,1,0,0,1
TEN,2007,26,35,4,73,34,0,189,17,0,0,0,1
WAS,2007,33,29,6,75,29,2,193,19,0,0,0,1
ARI,2008,45,25,3,60,30,0,178,15,0,0,0,1
ATL,2008,39,29,2,65,21,1,174,15,2,0,0,1
BAL,2008,36,28,7,84,21,3,194,15,0,0,0,1
BUF,2008,30,30,8,58,30,0,176,20,0,0,0,0
CAR,2008,45,28,3,76,19,0,192,18,3,0,0,1
CHI,2008,35,26,3,96,27,1,203,15,0,0,0,0
CIN,2008,17,22,3,101,26,0,186,16,1,0,0,0
CLE,2008,17,30,6,76,26,0,172,17,0,0,0,0
DAL,2008,41,20,2,78,33,1,190,14,1,0,0,0
DEN,2008,40,25,9,46,30,0,167,17,0,0,0,0
DET,2008,28,21,1,90,29,1,187,17,0,0,0,0
GB,2008,39,27,7,65,21,0,179,20,0,0,0,0
HOU,2008,37,29,4,53,32,0,173,18,0,0,0,0
IND,2008,40,20,5,53,17,0,150,15,0,0,0,1
JAX,2008,32,19,6,67,24,1,172,23,0,0,0,0
KC,2008,32,16,6,82,24,0,178,18,0,0,0,0
LV,2008,22,24,6,90,23,2,187,20,0,0,0,0
LAC,2008,47,27,5,51,20,1,170,19,0,0,0,1
LAR,2008,19,31,5,83,31,0,190,21,0,0,0,0
MIA,2008,38,21,4,74,13,1,174,23,0,0,0,1
MIN,2008,37,29,5,74,31,3,190,10,1,0,0,1
NE,2008,42,36,4,50,21,0,174,21,0,0,0,0
NO,2008,54,22,5,53,26,1,178,17,0,0,0,0
NYG,2008,42,36,3,64,13,3,178,17,0,0,0,1
NYJ,2008,42,24,5,59,31,0,177,15,1,0,0,0
PHI,2008,38,33,7,78,26,1,200,16,1,0,0,1
PIT,2008,35,27,4,78,25,1,190,20,0,0,0,1
SF,2008,31,29,4,67,35,0,185,18,1,0,0,0
SEA,2008,28,24,3,90,27,0,176,3,1,0,0,0
TB,2008,31,32,6,77,26,0,189,17,0,0,0,0
TEN,2008,37,29,4,87,17,0,191,17,0,0,0,1
WAS,2008,26,26,10,82,18,0,178,15,1,0,0,0
